ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
RENAULT MEGANE;Tešanj;Korišteno;Renault;Megane;2004;195000;4;Benzin;1.4;77;;Euro 3;1;;6825;2022-05-12;2020-11-04;0;2700
BMW 3.0. D;Visoko;Korišteno;BMW;X5 M;2002;320000;4;Dizel;3.0;135;185;Euro 3;1;;2688;2022-05-25;2020-11-05;0;13000
Opel vectra;Travnik;Korišteno;Opel;Vectra;2001;2885000;4;Dizel;2.0;74;101;Euro 3;1;;4290;2022-05-03;2020-11-06;0;2300
MERCEDES BENZ E200;Teslić;Korišteno;Mercedes-Benz;E 200;2011;384000;4;Dizel;2.2;100;;Euro 5;;;48484;2022-04-21;2020-11-06;1;13400
Audi A5 2008 2.7;Tuzla;Korišteno;Audi;A5;2008;245000;2;Dizel;2.7;140;190;Euro 5;1;;16013;2022-05-12;2020-11-06;0;18000
Mercedes c220;Bijeljina;Korišteno;Mercedes-Benz;C 220;2010;280000;4;Dizel;2.2;125;170;;1;;10617;2022-05-21;2020-11-06;0;16900
Audi A5/S5;Bugojno;Korišteno;Audi;A5;2011;350000;2;Dizel;3.0;176;315;;1;;13381;2022-05-08;2020-11-07;0;20000
Volkswagen Golf;Kalesija;Korišteno;Volkswagen;Golf;2006;244282;4;Dizel;1.9;77;105;Euro 4;1;;1119;2022-05-06;2020-11-07;0;8000
Volkswagen Passat b7 bluemotion;Han Pijesak;Korišteno;Volkswagen;Passat;2012;210000;4;Dizel;1.6;77;;;1;;2437;2022-05-14;2020-11-07;0;16900
Jeep Cherokee;Fojnica;Korišteno;Jeep;Cherokee;2004;250000;4;Plin;4.0;220;;;1;;14553;2022-06-08;2020-11-07;0;8500
Alfa Romeo Brera jtd cabriolet cabrio;Sarajevo, Novi Grad;Korišteno;Alfa Romeo;Brera;2007;190000;4;Dizel;2.4;147;;Euro 5;;;19663;2022-05-22;2020-11-07;0;18999
Audi A6;Sapna;Korišteno;Audi;A6;2008;160000;4;Dizel;2.7;132;;;1;;2939;2022-04-26;2020-11-07;0;18500
Mercedes-Benz E 200 Benzin-plin ful oprema;Ilidža;Korišteno;Mercedes-Benz;E 200;1997;315000;4;Benzin;2.0;137;180;Euro 2;1;;4603;2022-05-23;2020-11-08;0;6000
Fiat Punto u solidnom stanju 1,7 turbo dizel;Doboj;Korišteno;Fiat;Qubo;2000;350000;4;Dizel;1.7;51;;Euro 2;1;;4131;2022-07-01;2020-11-08;0;1600
Mercedes w203;;Korišteno;Mercedes-Benz;C 200;2001;230000;2;Plin;2.0;96;129;;1;;16695;2022-05-15;2020-11-08;0;3800
BMW 525d e60;Novo Sarajevo;Korišteno;BMW;525;2005;450000;4;Dizel;2.5;130;177;Euro 4;1;;15399;2022-05-15;2020-11-08;0;9800
Citroen DS5;Banja Luka;Korišteno;Citroen;DS5;2013;187000;4;Dizel;2.0;120;163;;1;;8077;2022-05-05;2020-11-08;0;23000
BMW 530 D E60 XD X DRIVE extra stanje ful oprema;Ljubuški;Korišteno;BMW;530;2006;350000;4;Dizel;3.0;170;;Euro 4;1;;3892;2022-06-29;2020-11-08;0;15000
Opel Tigra twintop ( kabrio Cabrio kabriolet );Ilidža;Korišteno;Opel;Tigra;2004;195000;2;Plin;1.8;92;125;Euro 4;1;;14215;2022-04-27;2020-11-08;0;4999
Audi A8 4.2 V8 Quattro Long;Sarajevo, Novi Grad;Korišteno;Audi;A8;2011;189608;4;Benzin;4.2;273;371;Euro 6;1;;19570;2022-04-21;2020-11-09;1;61900
Mercedes-Benz ML 320;Rogatica;Korišteno;Mercedes-Benz;ML 320;2007;222000;4;Dizel;3.0;165;230;Euro 4;1;;5695;2022-07-05;2020-11-09;0;22000
Polo 6n;Banovići;Korišteno;Volkswagen;Polo;1998;225000;2;Benzin;1.4;44;;;1;;13497;2022-05-22;2020-11-09;0;2000
Volkswagen T5 Caravelle 2006 / Plin/Benzin/ 8 sjedista/;Bijeljina;Korišteno;Volkswagen;T5 Caravelle;2006;320000;4;Plin;2.0;85;2000;Euro 4;1;;6521;2022-04-17;2020-11-09;1;11500
Volvo V70;Banja Luka;Korišteno;Volvo;V70;2006;398000;4;Benzin;2.4;103;;;1;;2969;2022-06-08;2020-11-09;0;7500
TOYOTA RAV 4;Sarajevo - Centar;Korišteno;Toyota;RAV 4;2007;213000;4;Dizel;2.2;130;177;Euro 4;1;;5025;2022-05-06;2020-11-09;0;13900
Opel Astra H 2011;Lukavica;Korišteno;Opel;Astra;2011;98000;4;Benzin;1.6;85;110;Euro 5;1;;4164;2022-05-11;2020-11-09;0;12200
BMW X5 X-DRIVE 3.0d;Vitez;Korišteno;BMW;X5 M;2009;252000;4;Dizel;3.0;173;;Euro 4;1;;2596;2022-05-23;2020-11-10;0;27500
Ford focus;Doboj;Korišteno;Ford;Focus;2012;210000;4;Dizel;1.6;70;;Euro 5;1;;2900;2022-05-02;2020-11-10;0;12990
Bmw F30;Vogošća;Korišteno;BMW;316;2013;247000;4;Dizel;2.0;85;115;Euro 5;1;;47583;2022-04-26;2020-11-10;0;17499
Volkswagen Buggy;Tešanj;Korišteno;Volkswagen;Buggy;1989;302000;4;Dizel;1.6;55;;Euro 1;1;;3783;2022-04-24;2020-11-10;0;5000
Volkswagen Golf.1.6 DIZEL TAS ORGINAL.065640848.;Grad Mostar;Korišteno;Volkswagen;Golf;1984;120000;2;Dizel;1.6;40;55;Euro 1;;;25335;2022-04-21;2020-11-11;0;15000
Passat 6 1.9 highline;Lukavac;Korišteno;Volkswagen;Passat;2007;290000;4;Dizel;1.9;77;105;Euro 4;1;;3285;2022-05-11;2020-11-11;0;10500
Mercedes 220 c dizel;Laktaši;Korišteno;Mercedes-Benz;C 220;2006;300000;4;Dizel;2.2;110;150;Euro 4;1;;4378;2022-05-10;2020-11-11;0;8550
BMW 330d e90 231KS *Sport Design*;Široki Brijeg;Korišteno;BMW;330;2006;310000;4;Dizel;3.0;170;231;;1;;17775;2022-05-22;2020-11-11;0;13500
Renault Laguna;Tešanj;Korišteno;Renault;Laguna;2002;0;4;Dizel;2.2;110;;;1;;754;2022-06-05;2020-11-11;0;2600
Land Rover Defender Serie III;Banja Luka;Korišteno;Land Rover;Serie III;1972;;4;Dizel;2.4;53;;;;;26471;2022-05-19;2020-11-12;0;6000
CITROEN C3 1.6 HDI 2010 GODINA KLIMA PANORAMA;Doboj-Jug;Korišteno;Citroen;C3;2010;176000;4;Dizel;1.6;66;90;Euro 5;;;11280;2022-04-29;2020-11-12;1;8990
Alfa Romeo Alfa 159 2.0JTDm 2011 Godina;Živinice;Korišteno;Alfa Romeo;Alfa 159;2011;200000;4;Dizel;2.0;125;170;Euro 5;1;;15705;2022-08-11;2020-11-12;0;11700
Volkswagen Golf VI 2010 god 2.0 tdi tek reg;Živinice;Korišteno;Volkswagen;Golf;2010;270000;4;Dizel;2.0;103;;Euro 5;1;;2954;2022-04-17;2020-11-12;0;13950
Citroen C5;Gacko;Korišteno;Citroen;C5;2005;200000;4;Dizel;1.6;80;;Euro 4;1;;2963;2022-04-21;2020-11-12;0;6600
Audi A4 2.0 TDI 2008;Posušje;Korišteno;Audi;A4;2008;246000;4;Dizel;2.0;103;;Euro 4;;;4316;2022-06-16;2020-11-12;1;17999
Volkswagen Passat;Osmaci;Korišteno;Volkswagen;Passat;1993;330000;4;Dizel;1.9;55;;;;;2753;2022-04-28;2020-11-13;0;1700
Mercedes-Benz E 300 turbodiesel Avantgarde top stanje;Lukavac;Korišteno;Mercedes-Benz;E 300;1999;219500;4;Dizel;3.0;130;177;Euro 2;1;;8691;2022-05-06;2020-11-13;0;10000
Automatik Peugeot 407 2.0 HDI (karavan);Orašje;Korišteno;Peugeot;407;2010;206000;4;Dizel;2.0;120;;Euro 5;1;;6470;2022-05-26;2020-11-13;0;10000
BMW X3;Ilidža;Korišteno;BMW;X3;2008;260000;4;Dizel;3.0;160;218;Euro 4;1;;2097;2022-04-30;2020-11-13;0;18500
Citroen C3 1.6 HDI 2016. REGISTRIRAN! Veliki servis;Čapljina;Korišteno;Citroen;C3;2016;160000;4;Dizel;1.6;55;;Euro 6;;;7795;2022-05-02;2020-11-14;1;13000
MAZDA MX-5 G130 M/T Revolution 2017;Banja Luka;Korišteno;Mazda;MX-5;2017;3337;2;Benzin;1.5;96;131;Euro 6;;;24271;2022-05-03;2020-11-14;1;40950
MINI Cooper;Cazin;Korišteno;MINI;Cooper;2010;249000;2;Dizel;1.6;80;125;Euro 4;1;;4417;2022-04-18;2020-11-14;0;16000
