ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
Citroen Jumpy;Grude;Korišteno;Citroen;Jumpy;2009;270000;4;Dizel;1.6;74;90;;1;;1003;2022-05-12;2022-04-04;0;12700
Skoda Superb 2.5 TDI Elegance Godište:2007, FULL Oprema, TOP......;Brčko;Korišteno;Škoda;Superb;2007;299000;4;Dizel;2.5;120;163;Euro 4;1;;2599;2022-04-19;2022-04-04;1;7500
Audi A4;Sarajevo, Novi Grad;Korišteno;Audi;A4;1998;300000;4;Dizel;1.9;66;;;1;;1168;2022-05-08;2022-04-04;0;3400
Volkswagen tiguan 2.0tdi 103kw 2012gp 4MOTION*ALU*;Banja Luka;Korišteno;Volkswagen;Tiguan;2012;233000;4;Dizel;2.0;103;140;Euro 5;;;1590;2022-04-20;2022-04-04;1;25900
Vozila automobili;Prijedor;Korišteno;Volkswagen;Golf;1999;300000;2;Dizel;1.9;66;;;1;;580;2022-04-20;2022-04-04;0;3900
Seat Ibiza 1.2 TDI Style, 55KW, Godište:2010, Alu Felge, Uvo......;Brčko;Korišteno;Seat;Ibiza;2010;212000;4;Dizel;1.2;55;75;Euro 5;;;374;2022-04-19;2022-04-04;1;8700
Mercedes CLS 350;Vitez;Korišteno;Mercedes-Benz;CLS 350;2011;245000;4;Dizel;3.5;195;;Euro 5;1;;3828;2022-04-20;2022-04-04;1;40750
BMW e60 530d;Teočak;Korišteno;BMW;530;2006;370000;4;Dizel;3.0;170;300;;1;;2320;2022-05-04;2022-04-04;0;15500
Volkswagen Golf;Zenica;Korišteno;Volkswagen;Golf;2007;280000;2;Dizel;1.9;77;;Euro 4;1;;2010;2022-05-07;2022-04-04;0;7200
Audi A6 2.0 limuzina;Banja Luka;Korišteno;Audi;A6;2012;250000;4;Dizel;2.0;130;;;;;1994;2022-05-12;2022-04-04;0;29000
MERCEDES BENZ B180 CDI REG.DO 05/2022;Bileća;Korišteno;Mercedes-Benz;B 180;2006;178532;4;Dizel;2.0;80;108;Euro 4;1;;4135;2022-04-28;2022-04-04;1;7500
Peugeot 3008 1.6 HDI 2012.g.;Banja Luka;Korišteno;Peugeot;3008;2012;219000;4;Dizel;1.6;82;115;Euro 5;;;1075;2022-04-19;2022-04-04;0;12900
AUDI A8 4.2TDI *2012* FULL TOP STANJE;Doboj-Jug;Korišteno;Audi;A8;2012;244030;4;Dizel;4.2;258;351;Euro 5;1;;868;2022-04-19;2022-04-04;1;45499
Mercedes B200 2.0 CDI 103 KW GOD.2006 Tel:065/215-323;Banja Luka;Korišteno;Mercedes-Benz;B 200;2006;246000;4;Dizel;2.0;103;;Euro 5;1;;1173;2022-04-19;2022-04-04;0;8800
Opel Astra K 1.6 dci Limuzina 2018;Banja Luka;Korišteno;Opel;Astra;2018;219800;4;Dizel;1.6;81;110;Euro 6;1;;1255;2022-05-03;2022-04-04;1;19990
Ford Transit Connect;Zvornik;Korišteno;Ford;Transit Connect;2017;232000;4;Dizel;1.5;88;120;Euro 6;;1;1299;2022-04-28;2022-04-04;0;19600
Citroen C3 1.4 e-hdi 50kw 2012g automatik-automatic;Kiseljak;Korišteno;Citroen;C3;2012;51000;4;Dizel;1.4;50;68;Euro 5;1;;737;2022-04-19;2022-04-04;0;12600
Citroen C5 2.0 HDi karavan REGISTROVAN do 2.2023;Tuzla;Korišteno;Citroen;C5;2009;300000;4;Dizel;2.0;103;140;Euro 5;1;;918;2022-04-19;2022-04-04;0;9400
VW TIGUAN DSG 7+R 2.0 TDI 103 kW 4x4MOTION g-2011;Ilidža;Korišteno;Volkswagen;Tiguan;2011;250000;4;Dizel;2.0;103;140;Euro 5;1;;1596;2022-04-20;2022-04-04;0;22600
Audi A4;Brčko;Korišteno;Audi;A4;2007;262000;4;Dizel;1.9;85;;;1;;180;2022-05-05;2022-04-04;0;10500
Volkswagen passat 1.9tdi 77kw 2005gp *KLIMA*ALU*;Banja Luka;Korišteno;Volkswagen;Passat;2005;246000;4;Dizel;1.9;77;105;Euro 4;;;1234;2022-04-18;2022-04-04;1;9500
Dacia Sandero 1.4 B Plin;Sarajevo, Novi Grad;Korišteno;Dacia;Sandero;2009;141000;4;Plin;1.4;55;75;Euro 5;1;;2506;2022-04-20;2022-04-04;0;5100
Passat 7 limuzina;Bijeljina;Korišteno;Volkswagen;Passat;2012;142200;4;Benzin;1.4;90;;Euro 5;1;;988;2022-05-13;2022-04-04;0;18500
Volvo XC 90;Ljubuški;Korišteno;Volvo;XC 90;2004;317000;4;Plin;2.5;154;210;Euro 3;1;;724;2022-04-19;2022-04-04;0;13000
VW GOLF VI 6 1.6 TDI CR 77 KW DIZEL 77KW.TEAM.REG.;Foča;Korišteno;Volkswagen;Golf;2011;240000;4;Dizel;1.6;77;;Euro 5;1;;487;2022-04-16;2022-04-04;0;14150
Passat CC 2.0 TDI 2013;Kalesija;Korišteno;Volkswagen;Passat CC;2013;142589;4;Dizel;2.0;110;140;Euro 5;1;;450;2022-04-20;2022-04-04;0;25999
Seat Leon 2.0 TDI;Grad Mostar;Korišteno;Seat;Leon;2006;360000;4;Dizel;2.0;103;140;Euro 4;;;1774;2022-04-19;2022-04-04;0;6800
Renault Koleos 2.0 4x4 2011 * God Garancija na vozilo!;Tešanj;Korišteno;Renault;Koleos;2011;250000;4;Dizel;2.0;110;;Euro 5;;;2452;2022-05-05;2022-04-04;1;14500
Renault Laguna 1.9 2003;Kiseljak;Korišteno;Renault;Laguna;2003;200000;4;Dizel;1.9;96;120;Euro 3;1;;696;2022-04-23;2022-04-04;0;2300
Alfa Romeo 156 Alfa 156 1.9 JTD;Kotor Varoš;Korišteno;Alfa Romeo;Alfa 156;2003;298000;4;Dizel;1.9;103;150;Euro 3;1;;1302;2022-07-22;2022-04-04;0;1900
Opel Corsa 1.7 Turbo Dizel 44kw Fabricko stanje;Grad Mostar;Korišteno;Opel;Corsa;1998;270000;2;Dizel;1.7;44;65;;1;;1724;2022-04-15;2022-04-04;0;2250
Mercedes-Benz C 220 cdi automatic;Kalesija;Korišteno;Mercedes-Benz;C 220;2002;304142;4;Dizel;2.0;85;130;Euro 3;1;;1025;2022-04-17;2022-04-04;0;5990
Audi A6 3.0 quattro full oprema - facelift;Ilidža;Korišteno;Audi;A6;2009;285000;4;Dizel;3.0;175;;Euro 5;1;;1303;2022-05-05;2022-04-04;0;19999
Nissan Terrano;Kozarska Dubica;Korišteno;Nissan;Terrano;1987;300000;2;Dizel;2.7;75;;;1;;4268;2022-04-23;2022-04-04;0;5600
DS4 Crossback Trocadero - PROMOTIVNA PONUDA!;Sarajevo - Centar;Novo;DS AUTOMOBILES;DS4 Crossback;2022;3;4;Benzin;1.2;96;130;Euro 6;1;;9261;2022-04-20;2022-04-04;1;63670
Kia Sorento;Gračanica;Korišteno;Kia;Sorento;2003;273000;4;Dizel;2.5;103;2500;Euro 3;1;;1414;2022-04-18;2022-04-04;;6500
Volkswagen Golf;Kozarska Dubica;Korišteno;Volkswagen;Golf;2010;207000;2;Dizel;1.6;77;;Euro 5;1;;1130;2022-05-04;2022-04-04;0;13850
Renault Scenic;Sarajevo, Novi Grad;Korišteno;Renault;Scenic;2006;235000;4;Dizel;1.5;78;;Euro 4;1;;328;2022-06-19;2022-04-04;0;4700
Mercedes-Benz C 200 2012 GOD;Visoko;Korišteno;Mercedes-Benz;C 200;2012;278041;4;Dizel;2.0;100;;;1;;3334;2022-04-21;2022-04-04;0;24500
Isuzu Trooper 2.2 dizel 4500km;Kiseljak;Korišteno;Isuzu;Trooper;1985;235000;2;Dizel;2.2;45;;;1;;580;2022-04-18;2022-04-04;0;4500
SEAT ALTEA XL 1.6 TDI 77 KW *153.000 km*;Tuzla;Korišteno;Seat;Altea;2010;153000;4;Dizel;1.6;77;;Euro 5;1;;654;2022-05-13;2022-04-04;0;10850
Mercedes-Benz E 270 tek reg;Grad Mostar;Korišteno;Mercedes-Benz;E 270;2004;420000;4;Dizel;2.7;130;;;1;;1304;2022-04-21;2022-04-04;0;8600
SEAT IBIZA 1.2 TDI 55KW 2011 GODINA TEK UVEZENA TOP!;Travnik;Korišteno;Seat;Ibiza;2011;254975;4;Dizel;1.2;55;;Euro 5;;;178;2022-04-19;2022-04-04;1;9200
ŠKODA FABIA 1.2 TDI 55KW GREENLINE 2011 GODINA UVOZ!;Travnik;Korišteno;Škoda;Fabia;2011;184422;4;Dizel;1.2;55;;Euro 5;;;194;2022-04-19;2022-04-04;1;9500
Audi Q5 3.0 Quattro;Zenica;Korišteno;Audi;Q5;2009;242123;4;Dizel;3.0;176;;Euro 5;1;;335;2022-04-15;2022-04-04;1;30000
Volkswagen Golf 7 2.0 TDI 110KW HIGHLINE 4MOTION 2016GP;Banja Luka;Korišteno;Volkswagen;Golf;2016;117000;4;Dizel;2.0;110;;Euro 5;1;;1273;2022-04-19;2022-04-04;0;27500
Škoda Octavia BENZIN-PLIN 4x4;Brčko;Korišteno;Škoda;Octavia;2006;290000;4;Plin;2.0;74;;;1;;1276;2022-04-18;2022-04-04;1;5400
MAZDA CX-5 4WD 2.2d REVOLUTION 4x4 uvoz Švajcarska;Banja Luka;Korišteno;Mazda;CX-5;2014;240000;4;Dizel;2.2;110;150;Euro 6;1;;1756;2022-04-18;2022-04-04;0;25900
Fiat punto;Gradiška;Korišteno;Fiat;Punto;2002;180000;2;Benzin;1.2;44;60;Euro 1;1;;79;2022-04-21;2022-04-04;0;1850
Honda Insight hybrid automatik;Gradiška;Korišteno;Honda;Insight;2009;190000;4;Benzin;1.4;75;;;1;;12;2022-04-25;2022-04-04;0;11300
Audi A3 1.6 TDI CR Mod.2011 God *S-Line* *DVD-TV-Navi*;Gradačac;Korišteno;Audi;A3;2010;267000;4;Dizel;1.6;77;105;Euro 5;;;7464;2022-05-21;2022-04-04;0;14200
Mercedes-Benz C200 CGI AMG paket;Grude;Korišteno;Mercedes-Benz;C 200;2010;225300;4;Benzin;2.0;132;184;Euro 5;;;3073;2022-05-04;2022-04-04;0;19500
Mercedes-Benz C 200 2011 GOD;Visoko;Korišteno;Mercedes-Benz;C 200;2011;266373;4;Dizel;2.0;100;;;1;;3345;2022-04-21;2022-04-04;0;18500
Volkswagen Passat CC 2.0 TDI full;Srebrenik;Korišteno;Volkswagen;Passat CC;2009;240540;4;Dizel;2.0;105;;;1;;7;2022-08-19;2022-04-04;0;19900
BMW e46 M-optik;Čajniče;Korišteno;BMW;316;2003;270000;4;Benzin;1.8;85;;Euro 4;1;;15;2022-06-13;2022-04-04;0;7000
Vw tiguan;Banja Luka;Korišteno;Volkswagen;Tiguan;2010;230000;4;Dizel;2.0;103;140;Euro 5;;;1229;2022-04-18;2022-04-04;1;19300
PEUGEOT 407 1.6 HDi*KLIMA*MOD 2007*;Vogošća;Korišteno;Peugeot;407;2007;300000;4;Dizel;1.6;80;110;Euro 4;1;;4163;2022-04-19;2022-04-04;1;6400
Audi Q5 S-line;Milići;Korišteno;Audi;Q5;2017;222546;4;Dizel;2.0;140;225;;1;;562;2022-04-23;2022-04-04;0;74800
DS 4 Crossback Trocadero - PROMOTIVNA PONUDA!;Sarajevo - Centar;Novo;DS AUTOMOBILES;DS4 Crossback;2022;3;4;Dizel;1.5;96;130;Euro 6;;;1066;2022-04-20;2022-04-04;1;69900
Volkswagen Golf 6 2.0 tdi 81KW tek uvezen;Novo Sarajevo;Korišteno;Volkswagen;Golf;2009;201000;4;Dizel;2.0;81;;Euro 5;;;1587;2022-04-26;2022-04-04;1;13200
BMW 525;Tešanj;Korišteno;BMW;525;2005;280000;4;Dizel;2.5;1;;Euro 4;1;;556;2022-06-10;2022-04-04;0;9400
DS 4 Crossback Trocadero - PROMOTIVNA PONUDA!;Sarajevo - Centar;Novo;DS AUTOMOBILES;DS4 Crossback;2022;3;4;Benzin;1.2;96;130;Euro 6;;;4890;2022-04-20;2022-04-04;1;63670
Porche Cayenne;Usora;Korišteno;Porsche;Cayenne;2007;185000;4;Benzin;4.8;283;;Euro 4;1;;446;2022-05-20;2022-04-04;0;27500
Toyota Corolla;Konjic;Korišteno;Toyota;Corolla;2014;173000;4;Dizel;1.4;66;;Euro 5;1;;828;2022-04-27;2022-04-04;0;19500
VW GOLF 6,2.0TDI 103 KW,FUL OPREMA ,SERVISNA KNJIGA;Srebrenik;Korišteno;Volkswagen;Golf;2009;266111;4;Dizel;2.0;103;;;1;;1088;2022-04-24;2022-04-04;0;13300
Audi A4 B8 2.0 105kw;Banja Luka;Korišteno;Audi;A4;2009;256430;4;Dizel;2.0;105;;;1;;1140;2022-05-31;2022-04-04;0;16100
Audi A6 Allroad;Tešanj;Korišteno;Audi;A6 Allroad;2001;274000;4;Dizel;2.5;132;;Euro 3;1;;1162;2022-05-03;2022-04-04;0;7100
Opel Insignia;Bijeljina;Korišteno;Opel;Insignia;2009;300000;4;Dizel;2.0;96;;;1;;16;2022-06-06;2022-04-04;0;9500
Audi A3 Panorama;Goražde;Korišteno;Audi;A3;2009;250000;4;Dizel;1.6;77;105;Euro 5;1;;1544;2022-04-18;2022-04-04;0;13500
ŠKODA OCTAVIA 1.6 TDI GP. 12/2009 GREENLINE-UVOZ-EURO5;Banja Luka;Korišteno;Škoda;Octavia;2009;230000;4;Dizel;1.6;77;105;Euro 5;;;1321;2022-04-19;2022-04-04;;10450
Škoda Fabia 1.4 2003g | Benzin/Plin;Kotor Varoš;Korišteno;Škoda;Fabia;2003;250000;4;Benzin;1.4;44;;;1;;1223;2022-04-30;2022-04-04;0;3450
AUDI Q7 3.0 TDI Quattro Black Matrix VIRTUAL 360°;Travnik;Korišteno;Audi;Q7;2018;75000;4;Dizel;3.0;200;272;Euro 6;1;;2149;2022-04-15;2022-04-04;1;110000
FORD FIESTA 1,4TDCI 2012 GODINA UVOZ;Grad Mostar;Korišteno;Ford;Fiesta;2012;241000;4;Dizel;1.4;52;71;Euro 5;;;2102;2022-06-22;2022-04-04;0;9300
BMW 525 FACELIFT;Grude;Korišteno;BMW;525;2002;293100;4;Dizel;2.5;125;;;1;;898;2022-04-19;2022-04-04;0;5900
Volkswagen Golf 7 1.6 TDI 2015GOD.EKSTRA STANJE;Gradiška;Korišteno;Volkswagen;Golf;2015;243500;4;Dizel;1.6;81;110;Euro 5;1;;713;2022-05-06;2022-04-04;0;22500
Passat 3;Nevesinje;Korišteno;Volkswagen;Passat;1990;300000;4;Dizel;1.9;47;;;1;;697;2022-04-20;2022-04-04;0;2100
VW Passat 1.6TDI BlueMotion. 2014 god. Prešao 79000km.;Banja Luka;Korišteno;Volkswagen;Passat;2014;79000;4;Dizel;1.6;77;105;Euro 5;1;;1050;2022-05-08;2022-04-04;0;23900
Citroen C5 AUTOMATIK;Vogošća;Korišteno;Citroen;C5;2011;250000;4;Dizel;1.6;82;110;Euro 5;1;;995;2022-04-24;2022-04-05;0;11900
Volkswagen Polo;Sarajevo - Centar;Korišteno;Volkswagen;Polo;2006;200000;2;Dizel;1.4;59;80;Euro 4;1;;60;2022-04-19;2022-04-05;0;7000
Volkswagen Golf 6 Gti Dsg F1 Extra stanje Tek Reg.4/23;Sarajevo, Novi Grad;Korišteno;Volkswagen;Golf;2009;195000;4;Benzin;2.0;155;211;Euro 5;1;;3864;2022-05-07;2022-04-05;0;23000
AUDI A5 2015 S LINE EURO 6;Zenica;Korišteno;Audi;A5;2015;210123;4;Dizel;2.0;140;;Euro 6;1;;654;2022-04-15;2022-04-05;1;37000
Audi A5;Teslić;Korišteno;Audi;A5;2009;223932;4;Dizel;2.0;125;;;1;;419;2022-04-22;2022-04-05;0;23900
Škoda Octavia 1.6 TDI 4X4;Doboj-Jug;Korišteno;Škoda;Octavia;2010;220700;4;Dizel;1.6;77;105;Euro 5;;;681;2022-05-13;2022-04-05;0;12500
Na prodaju udaren audi;Prijedor;Korišteno;Audi;A4;2002;250000;4;Dizel;2.5;114;;;1;;1364;2022-04-27;2022-04-05;0;1900
Seat Altea FR;Vogošća;Korišteno;Seat;Altea;2007;260000;4;Dizel;2.0;125;170;Euro 4;1;;842;2022-05-05;2022-04-05;0;9000
Volkswagen Golf 2 Benzin 1.3;Breza;Korišteno;Volkswagen;Golf;1986;800000;2;Benzin;1.3;40;;Euro 1;1;;2751;2022-04-18;2022-04-05;0;1350
GOLF 6 2012 TDI ZAMJENA ZA GOLF 7 ili PASAT 188000 km;Sarajevo - Centar;Korišteno;Volkswagen;Golf;2012;188000;4;Dizel;1.6;77;;Euro 5;1;;1361;2022-05-05;2022-04-05;0;12990
VW Polo 1.2 TDI 55KW, Trendline, Godište:2010, Uvoz;Brčko;Korišteno;Volkswagen;Polo;2010;218000;4;Dizel;1.2;55;75;Euro 5;;;605;2022-04-19;2022-04-05;1;9500
VW TIGUAN 2.0 TDI 103 KW EU5;Brčko;Korišteno;Volkswagen;Tiguan;2009;303591;4;Dizel;2.0;103;140;Euro 5;;;6349;2022-04-19;2022-04-05;1;17999
BMW 3 E46 1.8 benzin plin;Sarajevo - Centar;Korišteno;BMW;318;2003;221000;4;Benzin;1.8;85;;Euro 4;1;;783;2022-04-16;2022-04-05;0;4200
Opel Rekord 1700 1970 god.;Čapljina;Korišteno;Opel;Rekord;1970;111000;4;Benzin;1.7;55;;;;;1083;2022-04-23;2022-04-05;0;8000
DS 4 CROSSBACK BASSTILE PROMOTIVNA CIJENA;Sarajevo - Centar;Novo;DS AUTOMOBILES;DS4 Crossback;2022;3;4;Benzin;1.2;96;130;Euro 6;;;877;2022-04-20;2022-04-05;1;54357
Fiat Punto;Bijeljina;Korišteno;Fiat;Punto;2001;220000;4;Benzin;1.2;59;;;1;;232;2022-04-19;2022-04-05;0;2700
Peugeot 4008 HDi 4x4 2013model Max Full oprema;Tuzla;Korišteno;Peugeot;4008;2012;202000;4;Dizel;1.6;84;;;1;;1072;2022-04-20;2022-04-05;1;21900
VOLKSWAGEN GOLF 6 2010 GODINA NAVI MF VOLAN ALU;Doboj-Jug;Korišteno;Volkswagen;Golf;2010;244000;2;Dizel;1.6;77;105;;;;2346;2022-04-20;2022-04-05;1;10399
Opel Meriva;Lukavac;Korišteno;Opel;Meriva;2003;240000;4;Dizel;1.7;74;;Euro 4;1;;250;2022-04-22;2022-04-05;1;4650
FORD KUGA 2.0 TDCI 4X4 12/2010 GOD, TOP STANJE;Visoko;Korišteno;Ford;Kuga;2010;217000;4;Dizel;2.0;103;140;Euro 5;;;1944;2022-04-20;2022-04-05;1;17700
Renault Scenic;Ilijaš;Korišteno;Renault;Scenic;2001;224181;4;Benzin;2.0;103;140;Euro 3;1;;20;2022-04-15;2022-04-05;0;2700
Volkswagen Golf 5;Bijeljina;Korišteno;Volkswagen;Golf;2006;260000;4;Dizel;1.8;77;;;1;;468;2022-04-21;2022-04-05;0;8300
Volkswagen Passat 5+;Živinice;Korišteno;Volkswagen;Passat;2003;293000;4;Dizel;1.9;96;;;1;;1229;2022-05-05;2022-04-05;0;5600
AUDI A6 2.0 TDI AUTOMATIK ALU LED NAVI;Zenica;Korišteno;Audi;A6;2014;236819;4;Dizel;2.0;130;177;Euro 6;;;1216;2022-04-19;2022-04-05;1;35900
Renault Kangoo 1.5 DCI 2008 god.;Lukavica;Korišteno;Renault;Kangoo;2008;300000;4;Dizel;1.5;78;;;1;;404;2022-05-10;2022-04-05;0;9000
VW Kombi T5 2.5 TDI 2005.g Putnicki sa Klimom;Lukavac;Korišteno;Volkswagen;T5 Kombi;2005;350000;4;Dizel;2.5;128;;;1;;2464;2022-04-20;2022-04-05;;13500
Mercedes E-220 CDI 125 kw 2010.g Extra stanje;Lukavac;Korišteno;Mercedes-Benz;E 220;2010;250000;4;Dizel;2.2;125;;;1;;1043;2022-04-22;2022-04-05;0;21000
SEAT IBIZA SW MODEL 2013 STYLE DIG KLIMA NOVO AUTO;Doboj-Jug;Korišteno;Seat;Ibiza;2012;222000;4;Dizel;1.2;55;70;Euro 5;;;648;2022-04-18;2022-04-05;1;9399
Audi A4 2.0 TDI Quattro S-Tronic Attraction Novi model;Ilidža;Korišteno;Audi;A4;2016;179872;4;Dizel;2.0;140;190;;;;859;2022-05-10;2022-04-05;1;47990
Fiat Punto 1.2;Zvornik;Korišteno;Fiat;Punto;2001;292000;2;Benzin;1.2;44;;;1;;529;2022-04-23;2022-04-05;1;2500
Audi A6 45 TDI Quattro MATRIX VIRTUAL Kamera;Ljubuški;Korišteno;Audi;A6;2018;70929;4;Dizel;3.0;170;231;Euro 6;;;995;2022-04-24;2022-04-05;1;92990
Renault Espace 1.6 DCI Auto. INTENS ENERGY 7-Sjedišta;Ljubuški;Korišteno;Renault;Espace;2017;129037;4;Dizel;1.6;118;160;;;;252;2022-04-27;2022-04-05;1;41990
VW Golf VII 1.6 TDI Karavan BlueMotion Comfortline;;Korišteno;Volkswagen;Golf;2018;146552;4;Dizel;1.6;85;116;;;;264;2022-04-27;2022-04-05;1;29500
Audi A6 2003god;Zenica;Korišteno;Audi;A6;2003;396500;4;Dizel;2.5;120;;Euro 3;1;;4;2022-05-12;2022-04-05;0;4950
Ford Focus 1.6TDCI 80KW, 2010G;Doboj;Korišteno;Ford;Focus;2010;174000;4;Dizel;1.6;80;;Euro 5;1;;458;2022-04-21;2022-04-05;1;8700
Toyota RAV 4 Elegant NA STANJU !!!;Sarajevo - Centar;Novo;Toyota;RAV 4;2021;6;4;Hibrid;2.5;163;222;Euro 6;;;1130;2022-05-31;2022-04-05;1;89010
Renault Megane 1.5 DCI Energy Sport Edition Novi model;Ljubuški;Korišteno;Renault;Megane;2019;155625;4;Dizel;1.5;70;95;;;;196;2022-04-27;2022-04-05;1;26990
Golf 6 2.0 4motion (4x4) MATCH, 2013godina;Novo Sarajevo;Korišteno;Volkswagen;Golf;2012;227000;4;Dizel;2.0;103;140;Euro 5;1;;1235;2022-05-10;2022-04-05;0;17500
Renault Megane GT 1.5 DCI Energy Sport Edition 110 KS;Ljubuški;Korišteno;Renault;Megane;2018;149891;4;Dizel;1.5;81;110;;;;330;2022-04-27;2022-04-05;1;25990
Peugeot 3008 BlueHDI 130 KS Tiptronik FELINE VIRTUAL;Ljubuški;Korišteno;Peugeot;3008;2018;128321;4;Dizel;1.5;96;130;;;;363;2022-04-27;2022-04-05;1;47500
Audi A4 B7 2007 GOD 2.0 TDI Sline;Visoko;Korišteno;Audi;A4;2007;275000;4;Dizel;2.0;103;;Euro 4;1;;4784;2022-04-15;2022-04-05;;9900
VW Passat 1.6 TDI Karavan DSG-Tiptronik Comfortline;Ljubuški;Korišteno;Volkswagen;Passat;2018;135869;4;Dizel;1.6;88;120;;;;298;2022-04-27;2022-04-05;1;34990
Audi 80;Doboj;Korišteno;Audi;80;1988;141382;4;Benzin;1.8;54;;;1;;532;2022-05-05;2022-04-05;0;1250
Audi A4 82500km;Trebinje;Korišteno;Audi;A4;2014;82500;4;Dizel;2.0;130;;;;;3768;2022-04-16;2022-04-05;0;21400
Skoda Octavia A5 2.0TDI 140ks;Sarajevo - Centar;Korišteno;Škoda;Octavia;2007;261000;4;Dizel;2.0;103;140;Euro 4;;;2197;2022-04-25;2022-04-05;1;9999
VW CADDY 1.6TDI 79.000km;Doboj-Jug;Korišteno;Volkswagen;Caddy;2018;79800;4;Dizel;1.6;75;102;Euro 5;1;;1650;2022-06-04;2022-04-05;0;30000
VW POLO 1.2 TDI ALU CLIMATRONIK;Zenica;Korišteno;Volkswagen;Polo;2011;208266;4;Dizel;1.2;55;75;Euro 5;;;960;2022-04-19;2022-04-05;1;9950
Citroen C6 2.7 HDi;Brod;Korišteno;Citroen;C6;2006;260000;4;Dizel;2.7;150;204;Euro 4;1;;9108;2022-07-04;2022-04-05;0;5900
Audi A6 40 TDI 150KW VIRTUAL COCKIPT MATRIX 2019 G NOV;Banja Luka;Korišteno;Audi;A6;2019;61000;4;Dizel;2.0;150;;Euro 6;1;;988;2022-05-07;2022-04-05;0;86500
Citroen C4 1.6 BlueHDI Exclusive Millenium FACELIFT;Ilidža;Korišteno;Citroen;C4;2018;127598;4;Dizel;1.6;73;100;;;;176;2022-04-27;2022-04-05;1;22990
Golf 4 1.9 SDI, 50 KW, 1999 godiste;Banja Luka;Korišteno;Volkswagen;Golf;1999;548566;4;Dizel;1.9;50;;Euro 2;1;;5648;2022-05-27;2022-04-05;0;2500
MINI 4x4 Countryman;Stari Grad;Korišteno;MINI;Countryman;2010;118000;4;Dizel;1.6;84;;Euro 5;1;;1277;2022-07-04;2022-04-05;0;19550
Peugeot 3008 HDI 130 KS Tiptronik GT LINE VIRTUAL LED;Banja Luka;Korišteno;Peugeot;3008;2018;139866;4;Dizel;1.5;96;130;;;;582;2022-04-27;2022-04-05;1;49500
Audi A7 3.0 DIZEL QUATTRO;Travnik;Korišteno;Audi;A7;2012;200000;4;Dizel;3.0;180;;;1;;4;2022-04-26;2022-04-05;0;39000
Volkswagen Passat;Široki Brijeg;Korišteno;Volkswagen;Passat;1998;300000;4;Benzin;1.8;92;;;1;;19;2022-04-15;2022-04-05;0;3800
BMW 320;Brčko;Korišteno;BMW;320;2005;350000;4;Dizel;2.0;120;163;;1;;52;2022-04-21;2022-04-05;0;10350
Audi A5 2.0 TDI 2015 g;Foča;Korišteno;Audi;A5;2015;160000;4;Dizel;2.0;100;180;;1;;1089;2022-04-20;2022-04-05;0;32999
[ZAVRŠENO] OPEL INSIGNIA;Banja Luka;Korišteno;Opel;Insignia;2009;225000;4;Dizel;2.0;96;130;Euro 5;;;2493;2022-04-20;2022-04-05;1;11500
Peugeot 308 1.5 BlueHDI Business Line FACELIFT;Ljubuški;Korišteno;Peugeot;308;2019;169806;4;Dizel;1.5;75;102;;;;335;2022-04-27;2022-04-05;1;22500
AUDI A3 1.6 TDI 77kw 2010GOD*217 000*km BI XENON LED;Kiseljak;Korišteno;Audi;A3;2010;217000;4;Dizel;1.6;77;;Euro 5;1;;1329;2022-04-20;2022-04-05;0;13300
Audi A3 2.0 TDI 125 kw quattro 6+r 2007 gp 065 673 797;Banja Luka;Korišteno;Audi;A3;2007;244000;4;Dizel;2.0;125;;;1;;1356;2022-05-08;2022-04-05;0;11700
Audi A6 3.0 TDI quattro automatik 150kW/204 PS;Zenica;Korišteno;Audi;A6;2012;199000;4;Dizel;3.0;150;204;Euro 5;1;;684;2022-05-05;2022-04-05;0;34999
Peugeot 3008 HDI 130 KS Tiptronik GT LINE VIRTUAL LED;Ljubuški;Korišteno;Peugeot;3008;2019;147441;4;Dizel;1.5;96;130;;;;672;2022-05-04;2022-04-05;1;50990
Seat Leon 1.6 tdi 77kw Klima Tek registrovan;Kiseljak;Korišteno;Seat;Leon;2011;235000;4;Dizel;1.6;77;105;Euro 5;1;;696;2022-04-19;2022-04-05;1;11600
Peugeot 308 1.6 BlueHDI Allure Sport 120 KS FACELIFT;Ljubuški;Korišteno;Peugeot;308;2018;142611;4;Dizel;1.6;88;120;;;;214;2022-05-04;2022-04-05;1;24990
Nissan Qashqai 1,3 158 Automatik;Grad Mostar;Novo;Nissan;Qashqai;2022;3;4;Benzin;1.3;116;158;;1;;765;2022-04-22;2022-04-05;1;64900
Citroen C4 1.6 BlueHDI Automatik Exclusive Millenium;Ljubuški;Korišteno;Citroen;C4;2018;139283;4;Dizel;1.6;88;120;;;;317;2022-05-04;2022-04-05;1;26500
Renault Megane 1.5 DCI Automatik BOSE Edition LED;Ljubuški;Korišteno;Renault;Megane;2017;143029;4;Dizel;1.5;81;110;;;;482;2022-05-04;2022-04-05;1;31990
Citroen C4, 2010.g.1.4, benzin;Sarajevo, Novi Grad;Korišteno;Citroen;C4;2010;119036;4;Benzin;1.4;65;;Euro 5;1;;232;2022-04-20;2022-04-05;0;11300
